Date,"Fase, banco, y malla programada",Estado / Motivo de suspensión,Hora de ejecución,URL
26-02-2024,Fase 07 Banco 950 Malla 01A-02B-05A,Ejecutada,11:32,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2026-02-2024.pdf
26-02-2024,Fase 07 Banco 950 Malla Precorte,Ejecutada,11:32,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2026-02-2024.pdf
28-02-2024,Fase 07 Banco 960 Malla 12A,Ejecutada,11:56,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2028-02-2024.pdf
28-02-2024,Fase 07 Banco 960 Malla Precorte,Ejecutada,11:56,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2028-02-2024.pdf
29-02-2024,Fase 06 Banco 950 Malla 17A-14D,Ejecutada,12:19,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2029-02-2024.pdf
29-02-2024,Fase 06 Banco 950 Malla Precorte,Ejecutada,12:19,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2029-02-2024.pdf
09-03-2024,Fase 06 Banco 960 mallas 07f-18b,Ejecutada,13:07,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\03.Marzo\Registro%20tronadura%20ejecutada%2009-03-2024.pdf
09-03-2024,Fase 06 Banco 960 malla Precorte,Ejecutada,13:07,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\03.Marzo\Registro%20tronadura%20ejecutada%2009-03-2024.pdf
09-03-2024,Fase 06 Banco 940 mallas 19c-20b,Suspendida por condición operacional,8:00,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\03.Marzo\Registro%20tronadura%20ejecutada%2009-03-2024.pdf
28-03-2024,Fase 06 Banco 950 mallas 22B,Ejecutada,10:25,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\03.Marzo\Registro%20tronadura%20ejecutada%2028-03-2024.pdf
